| epoch   2 |  1600/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  6.40 | ppl   600.94
| epoch   2 |  1800/ 9945 batches | lr 0.10 | ms/batch 17.24 | loss  6.43 | ppl   618.32
| epoch   2 |  2000/ 9945 batches | lr 0.10 | ms/batch 17.21 | loss  6.37 | ppl   582.62
| epoch   2 |  2200/ 9945 batches | lr 0.10 | ms/batch 17.26 | loss  6.38 | ppl   591.76
| epoch   2 |  2400/ 9945 batches | lr 0.10 | ms/batch 17.21 | loss  6.44 | ppl   628.54
| epoch   2 |  2600/ 9945 batches | lr 0.10 | ms/batch 17.24 | loss  6.43 | ppl   618.03
| epoch   2 |  2800/ 9945 batches | lr 0.10 | ms/batch 17.24 | loss  6.36 | ppl   577.71
| epoch   2 |  3000/ 9945 batches | lr 0.10 | ms/batch 17.24 | loss  6.44 | ppl   625.89
| epoch   2 |  3200/ 9945 batches | lr 0.10 | ms/batch 17.21 | loss  6.34 | ppl   564.28
| epoch   2 |  3400/ 9945 batches | lr 0.10 | ms/batch 17.22 | loss  6.44 | ppl   628.72
| epoch   2 |  3600/ 9945 batches | lr 0.10 | ms/batch 17.22 | loss  6.38 | ppl   591.13
| epoch   2 |  3800/ 9945 batches | lr 0.10 | ms/batch 17.22 | loss  6.39 | ppl   595.80
| epoch   2 |  4000/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  6.31 | ppl   548.70
| epoch   2 |  4200/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  6.44 | ppl   623.62
| epoch   2 |  4400/ 9945 batches | lr 0.10 | ms/batch 17.54 | loss  6.42 | ppl   612.71
| epoch   2 |  4600/ 9945 batches | lr 0.10 | ms/batch 18.00 | loss  6.38 | ppl   587.47
| epoch   2 |  4800/ 9945 batches | lr 0.10 | ms/batch 18.24 | loss  6.34 | ppl   564.94
| epoch   2 |  5000/ 9945 batches | lr 0.10 | ms/batch 17.48 | loss  6.36 | ppl   580.92
| epoch   2 |  5200/ 9945 batches | lr 0.10 | ms/batch 18.22 | loss  6.37 | ppl   582.96
| epoch   2 |  5400/ 9945 batches | lr 0.10 | ms/batch 17.55 | loss  6.38 | ppl   591.40
