| epoch   1 | 12200/14918 batches | lr 0.10 | ms/batch 17.49 | loss  6.61 | ppl   739.03
| epoch   1 | 12400/14918 batches | lr 0.10 | ms/batch 17.49 | loss  6.52 | ppl   677.74
| epoch   1 | 12600/14918 batches | lr 0.10 | ms/batch 17.44 | loss  6.51 | ppl   668.81
| epoch   1 | 12800/14918 batches | lr 0.10 | ms/batch 17.09 | loss  6.54 | ppl   689.12
| epoch   1 | 13000/14918 batches | lr 0.10 | ms/batch 17.35 | loss  6.49 | ppl   658.56
| epoch   1 | 13200/14918 batches | lr 0.10 | ms/batch 17.07 | loss  6.42 | ppl   613.36
| epoch   1 | 13400/14918 batches | lr 0.10 | ms/batch 17.10 | loss  6.45 | ppl   631.50
| epoch   1 | 13600/14918 batches | lr 0.10 | ms/batch 17.15 | loss  6.45 | ppl   634.22
| epoch   1 | 13800/14918 batches | lr 0.10 | ms/batch 17.09 | loss  6.41 | ppl   605.25
| epoch   1 | 14000/14918 batches | lr 0.10 | ms/batch 17.07 | loss  6.41 | ppl   608.98
| epoch   1 | 14200/14918 batches | lr 0.10 | ms/batch 17.25 | loss  6.49 | ppl   659.25
| epoch   1 | 14400/14918 batches | lr 0.10 | ms/batch 17.05 | loss  6.49 | ppl   660.48
| epoch   1 | 14600/14918 batches | lr 0.10 | ms/batch 17.09 | loss  6.47 | ppl   645.90
| epoch   1 | 14800/14918 batches | lr 0.10 | ms/batch 17.17 | loss  6.45 | ppl   632.41
Finished one epoch
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 261.88s | valid loss  6.27 | valid ppl   528.46
-----------------------------------------------------------------------------------------
| epoch   2 |   200/14918 batches | lr 0.10 | ms/batch 17.18 | loss  6.28 | ppl   532.39
| epoch   2 |   400/14918 batches | lr 0.10 | ms/batch 17.12 | loss  6.45 | ppl   631.98
| epoch   2 |   600/14918 batches | lr 0.10 | ms/batch 17.33 | loss  6.33 | ppl   563.05
| epoch   2 |   800/14918 batches | lr 0.10 | ms/batch 17.57 | loss  6.35 | ppl   572.41
| epoch   2 |  1000/14918 batches | lr 0.10 | ms/batch 17.38 | loss  6.38 | ppl   591.31
| epoch   2 |  1200/14918 batches | lr 0.10 | ms/batch 17.29 | loss  6.35 | ppl   569.81
| epoch   2 |  1400/14918 batches | lr 0.10 | ms/batch 17.26 | loss  6.37 | ppl   586.38
| epoch   2 |  1600/14918 batches | lr 0.10 | ms/batch 17.21 | loss  6.39 | ppl   595.62
| epoch   2 |  1800/14918 batches | lr 0.10 | ms/batch 17.26 | loss  6.25 | ppl   520.59
| epoch   2 |  2000/14918 batches | lr 0.10 | ms/batch 17.31 | loss  6.28 | ppl   535.96
| epoch   2 |  2200/14918 batches | lr 0.10 | ms/batch 17.42 | loss  6.38 | ppl   591.55
| epoch   2 |  2400/14918 batches | lr 0.10 | ms/batch 17.12 | loss  6.21 | ppl   499.39
| epoch   2 |  2600/14918 batches | lr 0.10 | ms/batch 17.11 | loss  6.31 | ppl   552.02
| epoch   2 |  2800/14918 batches | lr 0.10 | ms/batch 17.35 | loss  6.23 | ppl   506.97
| epoch   2 |  3000/14918 batches | lr 0.10 | ms/batch 17.28 | loss  6.20 | ppl   490.87
| epoch   2 |  3200/14918 batches | lr 0.10 | ms/batch 17.42 | loss  6.19 | ppl   487.16
| epoch   2 |  3400/14918 batches | lr 0.10 | ms/batch 17.73 | loss  6.38 | ppl   591.64
| epoch   2 |  3600/14918 batches | lr 0.10 | ms/batch 17.42 | loss  6.25 | ppl   519.14
| epoch   2 |  3800/14918 batches | lr 0.10 | ms/batch 17.31 | loss  6.12 | ppl   454.25
| epoch   2 |  4000/14918 batches | lr 0.10 | ms/batch 17.34 | loss  6.25 | ppl   515.79
| epoch   2 |  4200/14918 batches | lr 0.10 | ms/batch 17.12 | loss  6.28 | ppl   531.73
